TitleEng,TitleRus,Genre,Story,Rating
The Killer Who Loves You,Очарованный ею убийца,Психологическое Романтика Сейнен Триллер Ужасы ," Сузуки Рюто — замкнутый и слабохарактерный студент. Несмотря на постоянные насмешки о его девственности, изо дня в день он изображает фальшивую улыбку в попытке слиться с группой общительных студентов. Но однажды он приходит на вечеринку, где встречает красивую девушку по имени Кокоа. По просьбе девушки он начинает притворяться ее парнем, чтобы отогнать сталкера. Эта маленькая любовь стала началом трагедии... ",4.33
Idaten Deities in the Peaceful Generation,Божества Идатэн в мирном поколении,Демоны Драма Комедия Приключения Сейнен Фэнтези Экшен ," Хаято - молодой Бог, любящий похамить и подразнить всех и вся, постоянно слышал истории о монстрах, запечатанных боле 800 лет назад. Следуйте эпической саге о нескольких молодых божествах, которым в конечном итоге придётся сражаться с демонами, людьми и преодолеть множество трудностей. ",8.5
Daddy’s Wild Oats,Папочка пошёл в отрыв,В цвете Веб Гарем Драма Романтика Хентай ," Вон Ён чувствует давление от семейной жизни. Недавно стал безработным. У него есть жена и три ребенка. Что еще хуже, он не трахался больше года… Тем не менее, как единственный кормилец, он решает заработать денег. Когда вы красивы, умны и целеустремленны, работа должна просто упасть вам под ноги, верно? К счастью для Вон Ёна, вскоре появляется возможность, которой нельзя не воспользоваться... ",8.25
Weak Hero,Слабейший Герой,Боевые искусства В цвете Веб Драма Повседневность Психологическое Сейнен Школа Экшен ," Как только хулиганы нацеливаются на вас, считай игра окончена. Школа под управлением тиранов, чье любимое хобби-мучить самых слабых детей в классе. Но тут появился Ён Си Ын. Этот таинственный новый студент угрожает разрушить установленный порядок. Он может быть небольшого роста, но его расчетливый и жестокий бой оставляет ничего не подозревающих противников лежать на полу, моля о пощаде. Теперь самые жесткие хулиганы школы должны карабкаться, чтобы снять этого нового и необычного героя. ",8.25
Ao Ashi,Ао Аши,Сейнен Спорт Школа ," Ашито Аой, ученик третьего класса средней школы из префектуры Эхиме, встречает тренера «Молодежной лиги J» Фукуду Тацую. Несмотря на свою грубость, Ашито обладает таким удивительным потенциалом, что тренер Фукуда приглашает его принять участие в отборочных тестах своей команды в Токио. Взгляните на историю мальчика, который совершит революцию в японском футболе. ",7.5
"A Sword Master Childhood Friend Power Harassed Me Harshly, So I Broke Off Our Relationship And Make A Fresh Start At The Frontier As A Magic Swordsman.","Моя подруга детства - искусный мечник издевалась надо мной, поэтому я порвал с ней все связи и начал новый старт как магический мечник!",Демоны Комедия Магия Приключения Романтика Супер сила Фантастика Фэнтези ," Властные притеснения со стороны Альфины, подруги и друга детства, которые ровесники, вместе выросли и вместе стали искателями приключений, болезненны. Несравненная красавица, человек с титулом Мастера меча и прозванный безупречной богиней меча, способная женщина с достижениями, признанными Королевством и вознагражденными назначением рыцарем, стала дворянкой. С другой стороны, ко мне относятся как к соучастнику этой способной женщины Альфины, она бросает оскорбительные слова, часто преследует ее с оскорблениями как авантюрист, теряя свое достоинство как мужчина и как личность, я смирился с тем, что проведу свою повседневную жизнь в положении любовника-хранителя. Однако в их повседневной жизни происходят перемены. Альфина, которая была занята как рыцарь королевства, часто становилась неспособной участвовать в приключениях, время, когда я принимал просьбы в одиночку, увеличилось, и я смог восстановить свое потерянное достоинство. Затем я осознал ненормальность ситуации, в которой оказался. Затем, чтобы прийти в себя, я решил отказаться от ее неоднократных силовых домогательств. В дополнение ко всему снаряжению, которое я получил до сих пор, я вернул ей меч, который мы подарили друг другу, когда стали искателями приключений, а затем объявил о нашем разрыве и быстро покинул это место. Отныне я изменю свое имя и внешность и буду жить свободно. Как только я так решил, все пошло хорошо, и когда я это понял, меня похвалили окружающие и я стал величайшим авантюристом на границе. Более того, я получил предложение жениться на дочери пограничного лорда от женщины-авантюристки ",8.91
Return of the Legendary Spear Knight,Возвращение величайшего лансера всех времен,Боевые искусства В цвете Веб Героическое фэнтези Драма Приключения Сёнен Супер сила Фэнтези Экшен ," В империи Авалон, где рыцари славятся своим искусством владения мечом, одинокий герой прославился, как величайший лансер — мастер копья. Он остановил войну и рисковал жизнью ради друзей, но наградой за это стало лишь предательство. Благодаря своему магическому копью лансер получил второй шанс: он переместился в прошлое, сохранив все свои воспоминания из прошлой жизни. Знакомьтесь: девятилетний Джошуа Сандерс — величайший лансер всех времён! ",9.25
Martial Peak,Вершина боевых искусств,Боевые искусства В цвете Гарем Героическое фэнтези Приключения Фэнтези Экшен ," На основе одноименного романа.Путь на вершину боевых искусств - путь одинокий и длинный. Перед лицом невзгод ты должен оставаться сильным и неотступным. Только тогда ты сможешь преодолеть все препятствия и стать по-настоящему сильным. Небесная Башня обучает своих учеников самым суровым образом, чтобы они могли выстоять в мире боевых искусств. Но только из-за одного самого незначительного проступка наш главный герой, Янг Кай, может быть исключен из Небесной Башни. ",9.12
I Became a Maid in a TL Novel,Я стала горничной в TL романе,В цвете Веб Драма Исекай Магия Психологическое Романтика Сёдзе Фэнтези ," Мне было скучно, и я прочитала роман, напичканным эротическими сценами, и в конце концов оказалась в нем. Причем я стала горничной, которую в скором времени казнят! Цель, конечно же, заключается в выживании... но ситуация продолжает ухудшатся. — Я не собираюсь делиться с братом тем, что мне и самому нравится. От удивления, я случайно прикусила губу. — Не становись герцогиней. Слухи о том, что мой младший брат влюбился в кролика, достигли даже моих ушей. — Ваше Величество! Все совсем не так... Аккуратно протерев мои кровоточащие губы и небрежно лизнув окровавленный палец, его хищный взгляд продолжал устремляться на меня. Его прикосновения совершенно не пугали. Но Ваше Величество, пожалуйста, остановитесь, я не хочу что б меня, после всего произошедшего, казнила!.. ",9.27
"That Inferior Knight, Actually Level 999","Тот Низший Рыцарь, На самом деле 999 Уровня",Боевые искусства Демоны Комедия Магия Приключения Сёнен Супер сила Фэнтези ," Из-за недопонимания мальчика он злит и врагов, и союзников!? Он может быть сильным, но его нельзя игнорировать! Предположительно, самый слабый мальчик, который освоил боевые искусства и магию, мир сотрясает от его недоразумения!? «Хм… у меня нет таланта», - так думал Юн в горах. Он нормальный добросердечный мальчик, но из-за его необычности в том, что его родители - мудрец и мастер боевых искусств. Другими словами, сильнейший в мире. Поскольку Юну сказали, что он самый слабый, он уходит из дома, чтобы осуществить свои мечты. «Э? Действительно ли возможно быть побежденным простым щелчком пальца 8-летним ребенком?» «Вы слышали, что герой был самым слабым участником? Вы должны быть не в своем уме, чтобы бороться с этим!» «Армии ангелов? Вы имеете в виду вредных птиц? Я просто уберу их полностью!» Теперь мальчик, который считает драконов просто ящерицами, которых вы можете регулярно есть, думает: «Я слаб. Мне нужно стать еще сильнее, иначе я никогда не стану благородным рыцарем...» Когда-нибудь он будет свободен от своих заблуждений. ",7.0
"The Greatest Prophet who Nurtured 100 Heroes, Even if He Becomes an Adventurer, His Disciples Throughout the World will still Yearn for Him","Сильнейший мудрец, воспитавший сотню героев и ставший авантюристом",Комедия Магия Приключения Супер сила Фэнтези Экшен ," Айсен спас мир, вырастив сотню героев и закончив войну со злым божеством. Защищая героев, он получил серьёзную травму и был вынужден уйти в Другой Мир для восстановления. За это время герои сделали значительный вклад в развитие мира, используя свои способности. Желая вновь увидеть своего любимого учителя, они отправляли ему письма с описанием всех мест и событий. Читая их письма, Айсен решает отправиться в путешествие по миру, попутно посещая каждого из своих учеников. ",8.67
I missed a leash of dark nature,Я отпустила поводок тёмной натуры,В цвете Веб Демоны Драма Исекай Магия Психологическое Романтика Сёдзе Трагедия Триллер Фэнтези ," Я обратилась в теле девушки из книги - Сирены. Мать Сирены, которая является одним из действующих лиц, привела молодого юношу, которому промыла мозги и использовала в собственных целях.  После промывки мозгов у него было лишь две задачи: Первая - Быть покорным слугой нашей семьи. Вторая же - безумно любить Сирену, то есть меня.  Юноша безмерно влюблен в меня, но кому это нужно? Я решила помочь избавить его от навязанных чувств, и это получилось, но...  ""Сирена! Теперь, когда я освободился из под чужих пут и волен действовать как сам того пожелаю, давай сделаем всё, что в наших силах!""  Это что за ситуация такая?!  Неужели я совершила ошибку? ",8.71
